stroke_hash,H_event_index,L_event_index,H_onset_s,L_onset_s,H_site_arrival_resid_ms,L_site_arrival_resid_ms,predicted_diff_ms,geometry_residual_ms,abs_geometry_residual_ms,within_1_sample,within_2_samples,source_bearing_H_deg,source_bearing_L_deg,energy_j,energy_unc_j,nstn,resid_us,nstn_energy,qc50,H_axis_deg_mod180,L_axis_deg_mod180,H_expected_mag_axis_deg_mod180,L_expected_mag_axis_deg_mod180,H_axial_residual_deg,L_axial_residual_deg,waveform_envelope_corr_fixed_geometry_lag
9fd7a2041552fc1509fb,420,93,1708.6640625,1708.6640625,-41.28340604279401,-29.808100015088712,11.47530602761391,-11.47530602761391,11.47530602761391,False,True,127.61693320887912,209.76219566102932,31.17,2.25,5,10.7,5,True,40.876884394267876,18.228733167430192,37.61693320887912,119.7621956610293,3.2599511853887577,78.4665375064009,0.7049589067855563
0782de3e4fcba9006b15,654,146,2626.5625,2626.5625,-32.83811981555118,-21.62162670674661,11.216493109131537,-11.216493109131537,11.216493109131537,False,True,128.59668099056688,212.7390745774807,7570.63,6044.27,6,3.1,4,False,43.407648691742594,27.974366855965656,38.59668099056688,122.73907457748066,4.810967701175713,85.23529227848499,0.9533557955275431
b4606032a7f35f6b2655,1098,265,4689.03125,4689.0703125,-34.54956328459957,-8.944438020989764,-13.45737473610991,-25.60512526389009,25.60512526389009,False,False,296.9383899558754,315.9157051849382,7929.85,1269.59,6,5.2,6,True,33.643026123018586,143.9168771036691,26.93838995587538,45.91570518493819,6.704636167143207,81.9988280812691,0.14679415594433962
59f616c4cf2adb564802,1113,275,4762.578125,4762.609375,-22.678059322061017,-4.888016075710766,-13.459956753334064,-17.790043246665935,17.790043246665935,False,False,294.62410727725637,312.1702359637003,10117.32,1538.52,6,6.6,6,True,27.36627378435969,149.07799324434876,24.62410727725637,42.17023596370029,2.7421665071033203,73.09224271935153,0.35952438323749325
bd99a69a7092adfdaca0,1573,409,6732.1953125,6732.2265625,-23.0353134284087,5.030580893617298,-3.1841056788096815,-28.065894321190317,28.065894321190317,False,False,358.29169418200354,45.074429122346544,1092.7,77.66,9,24.0,5,True,101.47136679615949,157.2830010654377,88.29169418200354,135.07442912234654,13.179672614155947,22.208571943091158,0.26448421552574775
b94c504c5cad66f3fc57,1821,441,7787.0625,7787.0625,-35.215016796428245,-23.19558234557917,12.019434450337378,-12.019434450337378,12.019434450337378,False,True,125.59843109475759,201.32451225822763,289.29,96.98,7,15.4,7,True,32.503633612025624,5.114317462300704,35.598431094757586,111.32451225822763,3.0947974827319626,73.78980520407308,0.32634062399925173
2f96126fa6190046e61c,1954,473,8307.796875,8307.7890625,21.423642667286913,26.122934386876295,12.511791720086794,-4.699291720086793,4.699291720086793,True,True,120.7024979327818,214.37881848250785,94.32,27.67,10,5.3,9,True,53.44913387601122,30.218259633763097,30.702497932781796,124.37881848250788,22.74663594322942,85.83944115125522,0.7022939039952267
b5083385fc128ac52496,1983,486,8436.9765625,8436.96875,-29.52307837222179,-25.658858265160234,11.676720107642723,-3.8642201076427227,3.8642201076427227,True,True,126.99758326239214,206.39159569537637,34946.72,3708.82,8,16.5,4,True,43.03330966923096,25.122529236928756,36.99758326239214,116.3915956953764,6.035726406838819,88.73093354155236,0.6152986040029832
315665357ed31f2847c6,1997,489,8476.640625,8476.625,-8.267490042271675,-29.142274885089137,-5.249784843571817,20.874784843571817,20.874784843571817,False,False,343.13746543838585,44.42712460848833,535.71,190.32,5,1.3,4,True,85.101591122493,170.22075078541252,73.13746543838585,134.42712460848833,11.96412568410716,35.79362617692419,0.21652940450317526
718dc041101d8775250d,2004,492,8518.2265625,8518.265625,-15.765811322125955,36.047185602001264,12.750496923363954,-51.812996923363954,51.812996923363954,False,False,131.65315815469978,156.37491767297843,160.85,38.33,5,16.3,5,True,158.80096017992844,171.26071859918227,41.65315815469978,66.37491767297843,62.85219797477134,75.11419907379616,0.08612841815484937
df680e227cb9d3dbf90a,2111,515,9044.2890625,9044.28125,-28.681694464467,-23.65852496768639,12.835669496906378,-5.0231694969063785,5.0231694969063785,True,True,119.15567942302914,210.55441828605944,71.66,5.4,5,11.7,5,True,40.269544804628225,26.927683147155022,29.15567942302914,120.55441828605944,11.113865381599084,86.37326486109558,0.6824429154904149
bbcb0d620b24403bdfc7,2122,516,9090.7421875,9090.734375,-30.365699367393972,-26.607861691445578,11.570337676555502,-3.757837676555501,3.757837676555501,True,True,127.63565394388962,206.77674627471197,5518.23,2159.28,13,14.6,12,True,48.5291074726822,22.547235774005514,37.63565394388962,116.77674627471197,10.893453528792577,85.77048949929355,0.8398371611956799
a9d8c980fa7c90e32bcf,2203,525,9450.5,9450.515625,-19.233194552725763,-16.78609256305208,-13.177898011573424,-2.447101988426577,2.447101988426577,True,True,304.648594424665,329.74969079462,974.29,136.29,7,16.2,6,True,40.881792412873125,37.4162492827742,34.64859442466502,59.749690794619994,6.233197988208104,22.33344151184579,0.6847223769863341
217d2a7ec3bba729709d,2338,542,10116.5078125,10116.5078125,-37.7706244798901,-25.9783098117623,11.792314669285075,-11.792314669285075,11.792314669285075,False,True,126.60752336180167,204.4244939890807,181.88,34.81,6,24.5,6,True,45.42495704651941,16.59414614156313,36.60752336180167,114.4244939890807,8.817433684717741,82.16965215248243,0.5014133894014516
22e9379a4e1fdd0be308,2631,577,11764.046875,11764.046875,-43.594087053861585,-31.100460950256092,12.49362610333679,-12.49362610333679,12.49362610333679,False,True,137.1891364254733,156.72219823771957,2466.63,1065.99,11,19.6,2,True,62.87886790716817,49.54695313393597,47.18913642547329,66.72219823771957,15.689731481694878,17.175245103783595,0.33936335764262643
203036a63f65dcdbbe59,2727,593,12418.4296875,12418.4375,-45.509014400522574,-25.340488004076178,12.356026396376798,-20.168526396376798,20.168526396376798,False,False,138.31365816523754,158.70974624895223,3358.68,1283.08,6,25.8,5,True,66.37143858262965,81.96841899708693,48.31365816523754,68.70974624895223,18.05778041739211,13.2586727481347,0.6068707824730152
deab8ad479b031af5ca3,2854,629,13148.921875,13148.9765625,-34.08436893369071,8.199033723940374,-12.404097341638366,-42.28340265836163,42.28340265836163,False,False,275.37356049570815,287.0393376599757,848.13,236.05,5,6.7,4,True,3.644044929904794,133.76245744047299,5.373560495708148,17.039337659975672,1.7295155658033536,63.27688021950269,0.5211495487721326
